,index,opt_counter,rew_mean,rew_sd,rew_median,rew_10th_p,rew_90th_p,steps_mean,steps_sd,steps_median,steps_10th_p,steps_90th_p
0,0,19.0,27.253151167507376,20.866971899668087,16.429974186170114,11.563925701652177,51.233067488691376,199.0,0.0,199.0,199.0,199.0
1,0,39.0,24.864829593277157,7.239566701915706,22.168477932754605,19.875168987423272,32.45399062261003,199.0,0.0,199.0,199.0,199.0
2,0,59.0,52.182406789645825,23.517739912146965,49.09506651650334,31.235484194457882,77.33293731436889,199.0,0.0,199.0,199.0,199.0
3,0,79.0,38.77775585764389,13.771888705142299,41.41601460377304,24.552993491721242,51.66847302936124,194.575,8.85,199.0,185.725,199.0
4,0,99.0,59.72641121939421,52.278696144410446,47.00540140694779,18.965444866614757,113.37822723275693,194.525,8.950000000000001,199.0,185.575,199.0
5,0,119.0,54.34073632911914,25.268510362434693,52.8458116012347,33.632702927252524,76.48816819941003,167.075,11.088451199333475,176.125,153.4,176.125
6,0,139.0,70.55935709771501,18.141562553026404,67.16406821995054,56.006271369890825,89.54315826978484,189.925,7.648774411629618,186.875,182.075,199.0
7,0,159.0,75.54665331947831,43.11577095439123,77.34538796080916,35.048224599683884,119.37547916351623,182.1,8.45,177.875,177.875,190.55
8,0,179.0,40.156010815591536,16.195860182847806,36.92040510539143,24.393807922239215,56.51965699257994,190.42499999999998,17.15,199.0,173.275,199.0
9,0,199.0,52.57285944065376,33.62695485543983,46.93933113553014,20.52861171181004,89.21210345835718,196.875,4.25,199.0,192.625,199.0
10,0,219.0,44.37925160754673,24.625960040489208,31.96219549564945,25.56019039271434,72.67536042234897,187.825,12.822745346069471,189.625,175.2,197.55
11,0,239.0,53.35157114543907,21.532398689760978,51.49691275517027,31.70255730009066,75.15817235455583,189.75,11.3288900603722,199.0,175.875,199.0
12,0,259.0,94.47726960111224,30.384707790614147,100.38881797449386,65.3236895114953,118.90521293812914,182.3,33.4,199.0,148.9,199.0
13,0,279.0,83.6099663790666,23.475301419529224,87.46179779056413,60.7058258524957,102.56427920219764,190.15,17.700000000000003,199.0,172.45,199.0
14,0,301.5,71.52124967988766,30.486602262153163,63.353138498599264,49.187682081847385,101.8448279303173,176.4,38.57276229081898,199.0,135.425,199.0
15,0,321.5,92.23821381908428,14.69738279155398,97.3415090728081,76.10031124937548,104.48572771326998,169.52499999999998,33.6,177.875,140.15,190.55
16,0,341.5,126.85043977119109,47.3330981564223,117.83734616196563,87.77470881003157,171.37125327303144,169.025,31.9,175.625,141.79999999999998,189.65
17,0,361.5,57.35219377321244,39.979833787928456,37.96030281395451,27.64821667550249,102.92808978688758,159.425,22.170174717052674,164.75,135.5,177.875
18,0,381.5,103.69349897054312,21.57078912349643,102.88393928288986,85.24001694259188,123.55641933140134,172.625,33.2177569735194,176.625,139.60000000000002,199.0
19,0,401.5,119.61323433411478,61.71001873013974,103.35001366535829,69.77406240501772,177.79963034050462,169.625,33.4,177.875,140.45,190.55
20,0,421.5,109.46445292909186,22.532052887569932,99.42469087704974,92.97553044705595,134.08989535776058,173.4,18.296957562492477,176.125,157.1,190.35
21,0,441.5,61.03729228201405,28.9456238418057,51.89136797596774,41.21224956726819,90.8875546387916,185.65,26.7,199.0,158.95,199.0
22,0,461.5,68.22304837853858,17.32721320228539,61.77090156597967,56.26987131439439,86.06346273422082,173.125,26.835128083219537,177.625,144.075,199.0
23,0,481.5,56.33317760688108,22.01630199120133,49.50739986294438,36.69656008553708,80.99909968976903,159.27499999999998,34.98831826924312,170.75,122.30000000000001,191.25
24,0,501.5,77.04239965510935,12.186368350090836,75.9065656065666,66.28715049827274,89.17664600551187,177.35,33.61717317810961,199.0,139.8,199.0
25,0,521.5,111.86175744442704,34.36662737987716,106.10010407401344,78.75966812864706,148.18652184361372,186.15,25.700000000000003,199.0,160.45000000000002,199.0
26,0,541.5,83.60094404855445,18.521089165552993,91.63613470056694,63.15008191580202,97.66951390578825,167.7,37.23723618874033,182.125,126.6,199.0
27,0,561.5,83.1900297665725,15.231393895403343,74.39969154558716,71.59904450218788,101.07468138332636,194.475,9.05,199.0,185.425,199.0
28,0,581.5,84.48632108037627,36.76876717161152,65.19014683408442,54.31416130647488,127.45230424700081,145.2,36.548084177610754,138.375,111.75,177.875
29,0,601.5,71.68963572523164,29.126426928905133,62.63079253078006,50.72570970289795,101.35665343387012,181.32500000000002,23.06979731514442,199.0,153.775,199.0
30,0,621.5,64.03304816664881,23.27322763153238,59.09980669959573,47.248028534933994,85.98183760006994,144.60000000000002,16.540004390617685,155.75,125.35,156.95
31,0,641.5,64.22286544703691,19.614936530151695,60.91450805158607,47.94547095604566,83.4679985970921,159.875,37.98694364000073,147.125,124.17499999999998,199.0
32,0,661.5,114.58994922692642,16.66553803346491,115.19965662986998,99.46661913819855,128.68558831108643,171.225,28.552891019084647,176.375,140.425,199.0
33,0,681.5,105.67973849556797,36.05377108234909,85.35608002924916,76.06344662643467,148.96560450570487,144.45,37.643717462758694,155.25,104.30000000000001,176.125
34,0,704.0,97.40646009326312,33.40577564327039,82.84620184714458,69.36701597019564,136.84616486732938,164.97500000000002,39.767867528849585,164.25,126.275,199.0
35,0,724.0,171.72432455435512,26.167371813588844,169.1992158664364,146.77724670604653,196.98296919687817,134.425,45.15317451503986,149.125,83.0,177.125
36,0,744.0,105.35632053945459,27.071207291544756,113.89825209464583,77.99652197752641,129.02498963862917,167.70000000000002,28.97661967611977,176.375,140.95,189.95
37,0,764.0,125.24251288574268,30.86563538315996,117.19335717106271,95.38583452337086,159.12825235261025,169.95,45.49884371201652,198.875,119.42500000000001,199.0
38,0,784.0,93.47195490445453,19.770756895375186,96.45702232317575,74.39116781360143,110.97007237679996,155.4,29.720410769254066,176.375,120.75,177.075
39,0,804.0,112.23325487452999,21.081311549276666,112.06488409760354,93.11480642031536,132.59494498008752,164.475,18.17940031758902,176.375,144.3,176.375
40,0,824.0,80.77319526472688,19.192510007285225,77.74882173968635,63.86262028055312,99.29682881023116,163.025,22.578867899371854,176.375,138.3,177.025
41,0,844.0,105.52391839009576,20.986827369747772,94.51496681877117,87.43332173973893,130.0850851560844,155.875,25.33131563902851,157.0,130.3,180.525
42,0,864.0,95.12897754530974,21.378793543333284,101.1644396230619,73.43910009366596,112.21602666281775,192.375,8.53631946449991,195.875,182.425,199.0
43,0,884.0,95.81522916695785,26.567118597789985,90.0994545726893,75.4961921338585,121.21997924569472,166.375,34.01456947566302,177.625,134.075,190.45
44,0,904.0,137.96211465068546,40.87995037660075,135.02811009752764,100.51381991838377,179.47054076503366,195.15,7.032691518899433,199.0,187.725,199.0
45,0,924.0,128.81974593561793,15.498315107860922,129.15261369480385,115.3231864407385,142.43555866475,193.675,6.791012535220506,199.0,185.1,199.0
46,0,944.0,116.01963665176672,10.136989313283241,112.15560391945631,107.60981587900868,127.60021207921268,167.925,10.349094163258929,176.375,155.25,176.375
47,0,964.0,144.0100079297289,23.742867497455844,143.2041492377101,122.46702200137933,165.8684051923147,175.425,31.586830542309393,185.875,141.75,199.0
48,0,984.0,112.86458805835976,9.102278736165745,114.31804952684955,104.04839660304688,120.32365615475817,158.05,26.061271179280695,161.75,135.05,181.47500000000002
49,0,1004.0,78.29638595558369,16.52512363871113,70.02334118452347,66.65779248078202,96.31235579913124,184.5,20.778385162239267,199.0,160.175,199.0
50,0,1024.0,108.01328734022572,37.63857103874906,105.59409327073809,76.74400798486879,141.1312712507582,172.625,30.91056076221365,178.125,141.10000000000002,199.0
51,0,1044.0,83.7523804325763,22.17151969747126,79.02546686141434,62.338679337728465,107.4296701667491,189.625,18.75,199.0,170.875,199.0
52,0,1064.0,116.43100302255237,14.66004754373192,109.17477296969216,105.0719074944777,133.56344060220414,186.65,11.453580061622853,184.125,175.1,199.0
53,0,1084.0,138.5005928188014,26.795900016859953,138.7634515668894,113.51190133583943,163.00228630601904,166.6,36.28838289908286,176.375,127.45,199.0
54,0,1104.0,143.07314121920624,16.010220694575477,139.2086146361729,130.08590506598728,159.68259622139757,171.925,33.68145649113112,176.625,138.35,199.0
55,0,1124.0,145.5706464095808,21.99579984670504,138.13676099449748,130.5429549479262,168.22116086065827,168.625,24.487423548609684,168.0,146.825,189.675
56,0,1144.0,124.18673468418122,23.193872556263678,113.40723828526191,108.46133106476522,148.97673503363194,193.3,11.4,199.0,181.9,199.0
57,0,1164.0,173.62958766059563,16.921641526404755,180.39735720802344,154.66992787320757,188.81910673843566,187.70000000000002,22.599999999999998,199.0,165.1,199.0
58,0,1184.0,136.3003933482549,13.302916087534028,136.50759900220433,123.01180749151476,150.10890203548524,176.39999999999998,23.131811750782013,178.375,155.72500000000002,193.65
59,0,1204.0,139.01111508827847,27.361455253601036,129.28582009508034,117.57077522330405,167.96181580886872,190.85,16.3,199.0,174.54999999999998,199.0
60,0,1224.0,118.13974829064773,12.29398865595815,118.41919584603342,107.09363859174123,128.39716342182757,187.84999999999997,20.045704698502675,199.0,166.57500000000002,199.0
61,0,1244.0,178.81861471562286,15.048380700257184,178.8833438303748,164.34965207019692,193.60086128387917,152.32500000000002,34.797812200845925,166.0,116.25,174.625
62,0,1264.0,135.56501830438125,21.30912827960301,133.4628265897033,116.10987138085234,155.98790558239355,178.20000000000002,18.750163396947805,179.625,162.825,191.85
63,0,1284.0,162.342366831606,23.726755082333487,154.3955630326482,142.95832970903928,187.95412337751907,195.9,3.977593493558637,199.0,190.875,199.0
64,0,1304.0,139.40188918744997,14.463114885343721,141.05845386176628,124.37841277651825,152.23083029387982,168.325,30.789749460259042,175.875,140.925,189.75
65,0,1324.0,127.36715508681147,18.818720602993153,126.0145335782161,108.62684843973605,146.6714699361204,191.65,14.7,199.0,176.95,199.0
66,0,1344.0,198.3880618500808,19.573674771351037,199.5319014043818,180.9863867940517,215.36668611750744,171.75,29.4874214885899,169.5,142.45,199.0
67,0,1364.0,187.94329027751755,13.859427133042896,192.51038491194396,172.59732949033975,199.9639931864005,183.375,21.73078819695927,199.0,157.375,199.0
68,0,1384.0,158.40314661052096,16.112202122214324,162.72974147549144,141.0768342369235,173.43786085352417,189.64999999999998,15.946119651234032,199.0,172.225,199.0
69,0,1404.0,153.72505016566353,19.852305761552817,156.56770166783315,134.12660470923774,170.02819655628144,197.875,2.25,199.0,195.625,199.0
70,0,1426.5,175.3212414340958,14.62237098338544,172.42018435656297,162.45978409093746,191.64782131091596,168.375,16.5,176.625,151.875,176.625
71,0,1446.5,227.75360464967417,17.87032564067433,228.50760737706813,210.74460371326586,243.0950614260952,183.95,25.84027076607461,199.0,156.525,199.0
72,0,1466.5,156.37874698857286,19.478178110854607,163.92821228281184,133.82592104049309,173.47796519203723,185.9,17.95473371676392,195.875,165.8,199.0
73,0,1486.5,194.72025806902388,27.467056551788716,193.1259476314057,168.30124472820745,222.99565103329445,190.675,16.65,199.0,174.025,199.0
74,0,1506.5,176.70060884974183,16.051886298389675,180.5910347797839,159.9784849860914,189.64745857424634,190.57500000000002,16.85,199.0,173.72500000000002,199.0
75,0,1526.5,187.5488507623427,12.198763979137182,187.245723781926,175.48687945653373,199.67417649907276,191.6,14.8,199.0,176.79999999999998,199.0
76,0,1546.5,242.51197051142634,27.61805946939591,257.78764823558237,210.2417919842121,263.3227935472709,171.0,40.667998537524646,189.375,126.575,199.0
77,0,1566.5,186.30753314485406,18.10721445533786,185.85204744127165,169.76207756629097,202.9821738519167,175.60000000000002,33.97007417095247,186.875,140.325,199.0
78,0,1586.5,228.82767888978114,17.181566001057753,227.58229658807502,213.95028876215025,244.1731383011653,168.025,38.81046751894677,175.875,128.225,199.0
79,0,1606.5,219.73434779402749,30.551629154300368,213.82313546846314,194.03782655615606,250.4942707385071,195.075,7.8500000000000005,199.0,187.225,199.0
80,0,1626.5,177.43512983935034,13.81925500299188,174.09760020477313,164.07863482245625,192.20891894693756,192.125,13.75,199.0,178.375,199.0
81,0,1646.5,231.34724612742113,26.717172243332826,234.3620943495266,205.04350782991455,256.91202203428384,189.17499999999998,19.65,199.0,169.525,199.0
82,0,1666.5,185.46770782498427,27.637425304218354,187.41010176663548,159.01297631575613,210.8341350771643,194.375,9.25,199.0,185.125,199.0
83,0,1686.5,222.73023065418326,20.89594868926696,219.74602913214272,205.6037082116322,242.09354247615124,168.02499999999998,35.4,176.875,137.05,190.15
84,0,1706.5,205.48996855934968,37.64939205626484,209.6995906796166,168.93452903683215,238.517349357801,175.3,40.01430091626482,199.0,132.05,199.0
85,0,1726.5,205.68677960478007,22.253455901573336,207.8633470119837,183.9602156625687,225.11515039166594,171.04999999999998,43.62098479781469,187.125,126.55000000000001,199.0
86,0,1746.5,235.69941002311344,28.65248568831946,235.73667909016797,207.8395997289535,263.4158675010631,157.5,42.87985835189126,177.125,112.95,190.25
87,0,1769.0,234.03642948682514,26.36919972445791,234.69813651061892,209.1125804488439,258.00439650712167,172.075,7.502162562177851,176.625,163.9,176.625
88,0,1789.0,238.44322824177613,17.93898232207331,247.54973844192216,219.66157637056048,249.55373408713317,171.95,9.35,176.625,162.6,176.625
89,0,1809.0,251.14348160193538,19.53629972533136,251.13188551850808,234.860099877676,268.2468556247479,170.42499999999998,25.094043137537245,177.875,147.175,190.55
90,0,1829.0,257.5432621668807,20.567627155757602,260.33833351471503,237.61383729645263,273.7743894388501,179.5,27.540620627520468,199.0,147.45,199.0
91,0,1849.0,225.9124914680901,41.77563971970382,227.30435455096978,182.87981403420514,266.61358576048764,181.1,23.408278921307243,192.625,154.725,199.0
92,0,1871.5,220.4860901078893,38.42452611684832,204.77475610266674,186.8740615882912,263.7209435782169,192.775,12.450000000000001,199.0,180.32500000000002,199.0
93,0,1891.5,230.82853487926636,35.92899392568444,227.840522531846,195.19149307700133,266.2282812564939,182.55,17.525145010625145,179.875,165.75,199.0
94,0,1911.5,207.03193713991146,10.985142493323243,209.5751680126269,195.8886142532638,215.68526085255726,150.325,34.6060084563457,137.875,120.5,188.5
95,0,1931.5,245.5190669507401,33.530240440715055,254.3557310489773,209.11911745773443,277.4400780474943,179.725,22.1288900603722,175.875,159.67499999999998,199.0
96,0,1951.5,260.582140598074,27.874254743895982,260.57389696155724,232.29973571907362,287.6258175654758,183.17499999999998,24.807428332713048,199.0,155.75,199.0
97,0,1971.5,256.56350887917904,23.133434328506503,260.65563923222226,231.9228785332406,276.43616154013495,185.475,19.8788900603722,199.0,163.05,199.0
98,0,1991.5,238.2337676441043,32.529686728695026,229.54648599648036,211.32918641043628,272.7716643810252,188.575,13.678890060372199,199.0,172.35,199.0
99,0,2011.5,257.1693366706221,21.030667711066606,259.64666172442367,235.72804803855863,276.97414798296137,175.5,30.513380763855203,185.875,142.25,199.0
100,0,2031.5,274.1611365104232,13.540458881959612,280.3927998904178,259.2923562115139,284.4045599224778,175.775,36.43519185571515,199.0,135.375,199.0
101,0,2051.5,268.15442010823733,27.219113300647727,278.9440818161937,238.07932336212733,289.30145193122763,174.7,28.17230826300005,177.875,146.5,199.0
102,0,2071.5,279.0151232601105,18.741175998476134,279.66216727483925,259.36765113816267,296.3113617470965,192.05,13.899999999999999,199.0,178.15,199.0
103,0,2091.5,245.8634182923286,33.47781697289395,240.65049584386173,213.65408583953462,280.7332583623172,181.05,27.22380599955232,199.0,149.60000000000002,199.0
104,0,2111.5,287.73223800775685,32.46350959987644,290.07224446663844,256.59408277078444,315.4850494363224,175.275,33.60282413578159,184.625,141.07500000000002,199.0
105,0,2131.5,261.5669904208595,23.673927312716575,261.3060958808964,240.05461290209817,285.14723962007315,150.725,48.490866916543744,156.5,106.275,189.75
106,0,2151.5,270.94349736642835,9.656376809708275,274.5873176029743,260.6659480950747,277.93108661066435,146.60000000000002,18.730878911003614,151.625,127.2,162.9
107,0,2171.5,288.30619339930973,22.43349571103454,294.7577626480207,263.6246551519908,307.4388525547594,163.825,34.78744193331684,177.875,128.5,191.15
108,0,2191.5,258.27240761340045,18.999552014371496,255.29629261610117,240.97239308523635,276.4464139272578,177.45,28.099094163258933,177.875,151.25,199.0
109,0,2211.5,272.93387828769954,25.938950284685184,273.95903148140974,246.84901469441104,298.17888938593984,177.825,27.4086735325162,178.125,152.225,199.0
110,0,2231.5,278.7862317156868,28.17310081505787,282.1701582205294,249.75575084973912,304.74273113961647,173.50000000000003,37.32137532617845,199.0,131.05,199.0
111,0,2251.5,290.4887110150304,38.2392256598625,305.07371017377176,247.99596648227546,320.6950758482066,178.125,20.308777078485644,177.875,156.85,199.0
112,0,2271.5,258.63861107428096,26.789748883360662,264.2567335986945,230.61001283595937,282.9782458605513,161.775,51.24320137626353,177.875,109.825,198.35
