,index,opt_counter,rew_mean,rew_sd,rew_median,rew_10th_p,rew_90th_p,steps_mean,steps_sd,steps_median,steps_10th_p,steps_90th_p
0,0,99.0,-13.433477844439492,35.246336754152374,-12.921442920721034,-49.654495964178146,21.29014656472977,199.0,0.0,199.0,199.0,199.0
1,0,199.0,-10.648388991224286,26.822958500186342,-12.576469182614753,-38.4744120223264,17.451628903740374,199.0,0.0,199.0,199.0,199.0
2,0,299.0,23.737672387991562,42.64504381175834,16.65912494344905,-20.475032144610985,72.66675131299857,199.0,0.0,199.0,199.0,199.0
3,0,399.0,220.88803902420184,7.8684024540265085,220.30264808831382,212.48448276285907,229.46047221200467,175.13333333333333,11.933333333333332,169.16666666666666,169.16666666666666,187.0666666666667
4,0,499.0,191.45138852494412,130.77958760995605,176.85472838209705,80.57634836284065,328.0937163248576,193.29999999999998,11.399999999999999,199.0,181.9,199.0
5,0,599.0,232.21193528856432,72.84907716554791,221.0350978888556,165.29291358362454,309.89597300246845,199.0,0.0,199.0,199.0,199.0
6,0,699.0,279.0080525899894,77.77785188756481,283.4275423396108,192.43455780307508,355.53816377711814,151.4333333333333,20.208826485313516,152.0,131.5666666666667,167.83333333333334
7,0,799.0,291.6008285394898,140.05677144111482,277.7102504640647,159.69365965504278,438.5024906804776,138.43333333333334,46.822776260542206,138.66666666666666,97.86666666666667,179.66666666666666
8,0,899.0,361.4177598708554,110.1846742151144,403.1880621578616,239.14985993551,451.4687201295231,184.23333333333335,29.533333333333335,199.0,154.70000000000002,199.0
9,0,999.0,354.3328004690936,93.64432329238316,378.676747284351,246.40855359587863,442.3746021877195,183.4333333333333,31.133333333333336,199.0,152.29999999999998,199.0
10,0,1099.0,271.2598874401503,90.97523722513034,266.64125782973,182.00323312170948,362.9950370722943,197.76666666666665,2.4666666666666663,199.0,195.29999999999998,199.0
11,0,1199.0,294.28108237665583,100.920132061248,285.1638675948024,186.5460377901517,405.0120075193333,189.26666666666665,19.46666666666667,199.0,169.8,199.0
12,0,1299.0,319.3364775370748,86.1701614956953,347.99162677016216,216.67053737783598,401.8741024161741,192.76666666666665,12.466666666666669,199.0,180.29999999999998,199.0
13,0,1399.0,276.0318495153743,69.82090699844801,273.2813943980667,204.36105379399203,342.9782256590203,180.96666666666667,14.73672660773454,169.5,168.5,199.0
14,0,1499.0,269.46612241692833,76.64015910605634,247.9791897767354,192.45116004700228,357.36861411383353,192.83333333333334,12.333333333333334,199.0,180.5,199.0
15,0,1599.0,333.7034089589368,66.6438968398755,335.0528214376247,262.3903661693288,400.3288576160946,171.0666666666667,36.18978374449801,172.16666666666666,136.93333333333334,199.0
16,0,1699.0,388.0268462683287,57.21177806553198,406.24216631649324,322.084548647501,441.17166857780444,170.6,29.776711053710233,172.83333333333334,139.5,199.0
17,0,1799.0,301.3373941134803,80.5018920949528,285.9993300846592,216.96824235081098,389.9351421478839,184.70000000000002,28.599999999999998,199.0,156.1,199.0
18,0,1899.0,321.88178155441466,87.5509291186837,347.0279700046956,224.9586772517457,399.0747853592905,180.63333333333333,28.068670023954315,199.0,148.23333333333332,199.0
19,0,1999.0,214.29608721593456,87.06558516179473,225.58716164475643,126.95027118933551,289.5871060335241,189.5,16.632918140264128,199.0,171.53333333333333,199.0
20,0,2099.0,329.0297157593395,69.30319939478966,333.9595499314823,259.88333668098016,389.64967461034377,177.9,26.215104335229473,199.0,145.56666666666666,199.0
21,0,2199.0,292.57592859113936,105.49013159358275,309.400760276422,177.64320202172746,387.7385840511804,188.79999999999998,20.400000000000002,199.0,168.4,199.0
22,0,2299.0,413.2964896128956,82.96414236385003,424.313554701163,323.4071388574208,498.8458228727557,161.23333333333332,9.380002369106547,168.83333333333334,149.46666666666667,168.83333333333334
23,0,2399.0,385.37959226152975,100.4229667897989,396.7898734310502,282.37005875864935,488.822728723887,186.03333333333333,25.933333333333334,199.0,160.1,199.0
24,0,2499.0,310.7055292455513,102.33659251031229,290.3454857532511,211.03639694779608,418.691587541561,187.23333333333335,23.533333333333335,199.0,163.70000000000002,199.0
25,0,2599.0,330.0375002922412,70.65509507286357,343.21972188778165,258.90120366225403,387.76597813174993,193.6,10.799999999999999,199.0,182.79999999999998,199.0
